ID	Question	Domain
1	List all boardgames by GMT.	Games
2	Who developed Skype?	Software
3	Which people were born in Heraklion?	People
4	In which U.S. state is Area 51 located?	Location
5	Who is the mayor of New York City?	Politics
6	Which countries have places with more than two caves?	Location
7	Where did Abraham Lincoln die?	Location
8	Which airports does Air China serve?	Location
9	Give me all actors starring in movies directed by and starring William Shatner.	Movie
10	What are the official languages of the Philippines?	Language
11	Give me all Danish films.	Movie
12	Which movies starring Brad Pitt were directed by Guy Ritchie?	Movie
13	Give me the grandchildren of Bruce Lee.	People
14	Which other weapons did the designer of the Uzi develop?	Company
15	Who is the owner of Universal Studios?	Company
16	Which state of the USA has the highest population density?	Location
17	Which monarchs were married to a German?	People
18	Which organizations were founded in 1950?	Company
19	Who created the comic Captain America?	Book
23	Which spaceflights were launched from Baikonur?	Space
24	Give me a list of all trumpet players that were bandleaders.	Music
25	Which U.S. states are in the same timezone as Utah?	Location
26	Which U.S. states possess gold minerals?	Location
27	Who is the daughter of Ingrid Bergman married to?	People
29	Show me all museums in London.	Location
30	Which caves have more than 3 entrances?	Location
31	Who is the tallest player of the Atlanta Falcons?	Sports
32	What are the top-10 action role-playing video games according to IGN?	Games
33	Give me all writers that won the Nobel Prize in literature.	Book
34	Show me all basketball players that are higher than 2 meters.	Sports
36	Which states border Illinois?	Location
37	Who developed Minecraft?	Software
38	Where did Hillel Slovak die?	Location
39	What movies does Jesse Eisenberg play in?	Movie
40	Give all swimmers that were born in Moscow.	Sports
41	Give me all cosmonauts.	Space
42	Give me all Swiss non-profit organizations.	Company
43	Which presidents were born in 1945?	Politics
44	What kind of music did Lou Reed play?	Music
45	Where do the Red Sox play?	Sports
46	Show a list of soccer clubs that play in the Bundesliga.	Sports
47	Which volcanos in Japan erupted since 2000?	Location
48	Which bridges cross the Seine?	Location
52	What is the most frequent cause of death?	Medicin
53	Who are the four youngest MVP basketball players?	Sports
54	Give me all companies in Munich.	Company
55	Give me the capitals of all countries that the Himalayas run through.	Location
57	Which rivers flow into a German lake?	Location
59	Give me all islands that belong to Japan.	Location
61	Give me all Apollo 14 astronauts.	Space
62	Which companies have more than 1 million employees?	Company
63	In which films directed by Garry Marshall was Julia Roberts starring?	Movie
64	Give me all soccer clubs in the Premier League.	Sports
65	What is the highest place of the Urals?	Location
66	Who is the governor of Wyoming?	Politics
67	Where did the architect of the Eiffel Tower study?	Location
69	Give me all actors who were born in Paris after 1950.	Movie
70	Which movies star both Liz Taylor and Richard Burton?	Movie
71	Give me all Australian nonprofit organizations.	Company
72	Which pope succeeded John Paul II?	People
73	Give me all ESA astronauts.	Space
74	Who was president of Pakistan in 1978?	Politics
75	Who is the owner of Rolls-Royce?	Company
77	Where was JFK assassinated?	Politics
78	Give me all federal chancellors of Germany.	Politics
79	Show me everyone who was born on Halloween.	People
80	Which beer originated in Ireland?	Food
81	To which countries does the Himalayan mountain system extend?	Location
82	Which actors were born in Germany?	Movie
84	Who produced the most films?	Movie
86	Give me all actors who were born in Berlin.	Movie
87	Who created Goofy?	Movie
88	Which music albums contain the song Last Christmas?	Music
91	Give me all the TV shows with Neil Patrick Harris.	Movie
94	Give me all Swedish holidays.	Location
95	In which city was the former Dutch queen Juliana buried?	Politics
96	List all the musicals with music by Leonard Bernstein.	Music
98	What is the largest metropolitan area in Washington state?	Location
99	Who killed John Lennon?	People
100	Which writers studied in Istanbul?	Book
101	Give me all Australian metalcore bands.	Music
102	Which countries adopted the Euro?	Location
103	Give me all types of eating disorders.	Medicin
109	Give me all books written by Danielle Steel.	Book
110	Which country has the most official languages?	Location
112	Which actor played Chewbacca?	Movie
113	Give me all libraries established earlier than 1400.	Book
114	Which programming languages were influenced by Perl?	Software
115	In which U.S. state is Mount McKinley located?	Location
116	What airlines are part of the SkyTeam alliance?	Company
117	Which ships were called after Benjamin Franklin?	People
118	Give me all Methodist politicians.	Politics
119	What other books have been written by the author of The Fault in Our Stars?	Book
120	What is the highest mountain?	Location
121	Which poet wrote the most books?	Book
122	Which programming languages influenced Javascript?	Software
123	Which musician wrote the most books?	Book
124	Which films starring Clint Eastwood did he direct himself?	Movie
125	Which software has been developed by organizations founded in California?	Software
126	Which instruments does Cat Stevens play?	Music
129	Who wrote The Hunger Games?	Book
130	For which label did Elvis record his first album?	Music
132	Where is the residence of the prime minister of Spain?	Politics
133	Which actor was casted in the most movies?	Movie
134	Which countries have more than two official languages?	Location
135	Which countries have more than ten caves?	Location
136	Show me all songs from Bruce Springsteen released between 1980 and 1990.	Music
137	Which television shows were created by John Cleese?	Movie
139	Which soccer players were born on Malta?	Sports
143	Give me a list of all lakes in Denmark.	Location
145	Show me all English Gothic buildings in Kent.	Location
146	Who is the manager of Real Madrid?	Sports
