YAGO,Question,Wikidata,MusicBrainz,DBpedia,LinkedMDB,ID
"Karl Marx University, Leipzig University, Marx, OpenLink Software, Openlink, University of Mannheim",Who are the developers of DBpedia?,,,"Leipzig University, OpenLink Software, University of Mannheim",,212
,Who is the mayor of Paris?,Anne Hidalgo,,Anne Hidalgo,,265
,Who was the first King of England?,Victoria,,Harold Godwinson,,219
,Where is the residence of the prime minister of Spain?,Palace of Moncloa,,Palacio de la Moncloa,,132
,For which label did Elvis record his first album?,Elvis Presley,,RCA Victor,,130
,Which countries have more than ten caves?,"Abkhazia, Afghanistan, Algeria, Andorra, Armenia, Australia, Austria, Azerbaijan, Belgium, Belize, Bosnia and Herzegovina, Brazil, British Overseas Territories, Bulgaria, Canada, Croatia, Czech Republic, Dominican Republic, Egypt, Estonia, Faroe Islands, Finland, France, Georgia, Germany, Greece, Hungary, Iceland, India, Indonesia, Iran, Ireland, Israel, Italy, Jamaica, Japan, Jordan, Laos, Lebanon, Libya, Malaysia, Malta, Mexico, Montenegro, Morocco, New Zealand, North Macedonia, Norway, Oman, Pakistan, People's Republic of China, Peru, Philippines, Poland, Portugal, Romania, Russia, Serbia, Slovakia, Slovenia, South Africa, South Korea, Spain, State of Palestine, Switzerland, Thailand, Turkey, Ukraine, United Kingdom, United States of America, Uzbekistan, Vietnam",,"Australia, Derbyshire, England, France, Germany, Gibraltar, Greece, India, Italy, Jamaica, Mexico, North Yorkshire, Portugal, Republic of Ireland, Somerset, South Africa, Spain, Turkey, UK, United Kingdom, United States, Wales",,135
,Give me a list of all trumpet players that were bandleaders.,"Akio Okamoto, Al Hirt, André Smit, Andy Dickens, Anna Mae Winburn, B. A. Rolfe, Barbara Donald, Barrie Lee Hall, Jr., Benny Carter, Bill Berry, Billie Rogers, Billy Eckstine, Billy May, Bob Astor, Bobby Bryant, Bobby Martin, Bobby Sherwood, Bola Johnson, Boy Edgar, Brian Jones, Buddy Bolden, Bunny Berigan, Burgess Gardner, Calvin Boze, Cat Anderson, Charlie Creath, Charlie Gaines, Charlie Spivak, Chico O'Farrill, Clark Terry, Claude Gordon, Clyde McCoy, Clyde Reasinger, Cootie Williams, Dan Terry, Dave Nelson, David Berger, Dean Hudson, Derrick Gardner, Dewey Jackson, Dizzy Gillespie, Doc Cheatham, Doc Severinsen, Dominick Farinacci, Don Albert, Don Ellis, Ed Nuccilli, Eddie Randle, Eddie Sauter, Edwin Franko Goldman, Ernest ""Doc"" Paulin, Erskine Hawkins, Fejat Sejdić, Freddy Randall, Frederik Köster, Gary Guthman, Gene ""Bowlegs"" Miller, Gerald Wilson, Gracie Cole, Guy Barker, Harry James, Henry Allen Sr., Henry Jerome, Herb Pomeroy, Herb Wiedoeft, Herbie Kay, Herbie Phillips, Humphrey Lyttelton, Ian Hamer, Irvin Mayfield, Ivan Jullien, Jack Walrath, Jake Porter, Jan Pavlis, Jeff Tyzik, Jerry van Rooyen, Jim Knapp, Jimmy Deuchar, Jimmy Wade, Joe Cabot, Joe Morris, John Bayley, John Hubbard Beecher, Johnnie Davis, Johnny Dunn, Jordan McLean, Julio Cueva, Ken Colyer, Ken Hanna, Kenny Baker, Kenny Ball, Kid Thomas Valentine, King Oliver, Klaas van Beeck, Klaus Lenz, Larry Clinton, Lee Castle, Leif Uvemark, Les Elgart, Lester Bowie, Lew Soloff, Lloyd Hunter, Louis Armstrong, Louis Prima, Jr., Lu Watters, Manuel Perez, Marlon Jordan, Matthias Schriefl, Maurice McAdow, Max Kaminsky, Mercer Ellington, Michael Mantler, Mick Collins, Mick Mulligan, Mike Cotton, Mike Vax, Miles Davis, Milt Larkin, Nat Gonella, Nicholas Payton, Nick LaRocca, Norman Mason, Oliver Todd, Ollie Mitchell, Ovie Alston, Papa Celestin, Paul Brody, Paul Mares, Peter Packay, Phil Collins, Phil Napoleon, Philipp Rellstab, Quincy Jones, Randy Brooks, Ray Anthony, Ray Brown, Ray Davies, Red Nichols, Red Perkins, Reuben Reeves, Richard Maltby, Richard Rousselet, Robert De Kers, Roger Thorpe, Roy Etzel, Rudy Salvini, Sam Donahue, Sam Morgan, Sean Jones, Sharkey Bonano, Singleton Palmer, Sonny Dunham, Steve Waterman, Sy Oliver, Teddy Riley, Terrence Holder, Thad Jones, Theo Croker, Theodore Carpenter, Tommy Dorsey, Tommy Sampson, Tony Pabón, Vaughn Monroe, Vic Schoen, Walter Jenson, Wayne Bergeron, Wayne Naus, Wendell Brunious, Werner Deinert, Wilfrido Vargas, William Franklin Lee III, Willie Mitchell, Ziggy Elman",,"Abatte Barihun, Adam Taubitz, Alan Silva, Artie Fields, Billie Rogers, Bobby Hackett, Brad Turner (musician), Charlie Spivak, Cleveland Eaton, Clifford Thornton, Danny Davis (country musician), Doc Cheatham, Doc Severinsen, Don Albert, Ernest ""Doc"" Paulin, Erskine Hawkins, Gerald Wilson, Gerard Presencer, Guy Barker, Henry Jerome, Hot Lips Page, Jack Jackson (British radio), Jacobo Rubalcaba, Jimmy Dorsey, Jimmy Vivino, Joe Wilder, Lloyd Hunter, Louis Prima, Mark Masters (musician), Marlon Jordan, Maynard Ferguson, Neil Yates, Ollie Mitchell, Orbert Davis, Ovie Alston, Pacho Galan, Papa Celestin, Pete Brown (jazz musician), Red Perkins, Richard Maltby, Sr., Sean Jones (trumpeter), Terumasa Hino, Theodore Carpenter, Wayne Bergeron, Willie Mitchell (musician), Wingy Manone",,24
Martin Scorsese,Who is the daughter of Ingrid Bergman married to?,Martin Scorsese,,,,27
,Which spaceflights were launched from Baikonur?,"AMC-14, AMC-9, AMS-23, AO-51, Almaz 1A, Amazonas-1, Amos-2, Amos-3, Amos-4, Angosat 1, Anik F1R, Anik F3, Anik G1, Arabsat 4A, AsiaSat 5, AsiaSat 7, AsiaSat 9, Astra 1M, Astra 2E, Astra 2G, Astra 4A, Astron, BADR 5, BKA, Badr-4, Badr-II, BelKA, Bion-M No.1, CAPE-1, COROT, Ciel-2, Cosmos 1423, Cosmos 57, CryoSat-2, Deimos-1, Demeter, DirecTV 8, DirecTV-10, DirecTV-12, Dove-2, DubaiSat-1, EchoStar XIV, EchoStar XV, EchoStar XVI, EgyptSat 1, EgyptSat 2, Ekran 13L, Ekran 14, Ekspress A2, Ekspress A3, Ekspress AM22, Ekspress AM4R, Ekspress AM7, Ekspress-AM4, Ekspress-AMU1, Elektro-L No.1, Elektro-L No.2, Eutelsat 10A, Eutelsat 16C, Eutelsat 36B, Eutelsat 3D, ExactView 1, ExoMars Trace Gas Orbiter, Express 4A, Express AM1, Express AM11, Express AM2, Express AM3, Express AM33, Express AM44, Express MD1, Fobos-Grunt, Foton-M No.4, Foton-M2, GIOVE-A, Galaxy 14, Gamma, Granat, Gurwin-II TechSat, Hot Bird 13B, INTEGRAL, IRS-1A, IRS-1B, IRS-1C, Inmarsat-4 F3, Inspektor, Intelsat 10-02, Intelsat 15, Intelsat 16, Intelsat 18, Intelsat 22, JCSAT-11, KA-SAT, KANOPUS-V 1, KazSat-1, KazSat-2, Kondor (satellite), Korabl-Sputnik 1, Korabl-Sputnik 2, Korabl-Sputnik 3, Korabl-Sputnik 4, Korabl-Sputnik 5, Kosmos 10, Kosmos 1001, Kosmos 104, Kosmos 105, Kosmos 107, Kosmos 1074, Kosmos 110, Kosmos 111, Kosmos 115, Kosmos 117, Kosmos 12, Kosmos 120, Kosmos 122, Kosmos 124, Kosmos 1267, Kosmos 13, Kosmos 132, Kosmos 133, Kosmos 1379, Kosmos 140, Kosmos 1402, Kosmos 143, Kosmos 1484, Kosmos 15, Kosmos 1546, Kosmos 159, Kosmos 16, Kosmos 1629, Kosmos 1669, Kosmos 167, Kosmos 1686, Kosmos 1792, Kosmos 18, Kosmos 1818, Kosmos 186 and Kosmos 188, Kosmos 1867, Kosmos 1870, Kosmos 1894, Kosmos 1918, Kosmos 1919, Kosmos 20, Kosmos 21, Kosmos 212, Kosmos 213, Kosmos 2133, Kosmos 2224, Kosmos 2345, Kosmos 2350, Kosmos 238, Kosmos 24, Kosmos 2411, Kosmos 2412, Kosmos 2413, Kosmos 2421, Kosmos 251, Kosmos 27, Kosmos 28, Kosmos 29, Kosmos 291, Kosmos 32, Kosmos 33, Kosmos 35, Kosmos 359, Kosmos 37, Kosmos 379, Kosmos 398, Kosmos 4, Kosmos 41, Kosmos 434, Kosmos 46, Kosmos 47, Kosmos 48, Kosmos 482, Kosmos 496, Kosmos 50, Kosmos 52, Kosmos 573, Kosmos 60, Kosmos 613, Kosmos 638, Kosmos 64, Kosmos 656, Kosmos 66, Kosmos 670, Kosmos 672, Kosmos 68, Kosmos 69, Kosmos 7, Kosmos 772, Kosmos 78, Kosmos 869, Kosmos 9, Kosmos 954, Kosmos 96, Kosmos 98, Kosmos 99, Kosmos-1521, Kosmos-404, Kosmos-999, Kristall, Kupon, Kvant-1, Latinsat-A, Libertad 1, Luna 1, Luna 10, Luna 11, Luna 12, Luna 13, Luna 14, Luna 2, Luna 3, Luna 4, Luna 5, Luna 6, Luna 7, Luna 8, Luna E-1 No.1, Luna E-1 No.2, Luna E-1 No.3, Luna E-1A No.1, Luna E-3 No.1, Luna E-3 No.2, Luna E-6 No.2, Luna E-6 No.3, Luna E-6 No.5, Luna E-6 No.6, Luna E-6 No.8, Luna E-6LS No.112, MEASAT-3, MEASAT-3a, Maroc-TUBSAT, Mars 1, Mars 1M, Mars 1M No.2, Mars 2MV-3 No.1, Mars 2MV-4 No.1, Mars 96, Mars Express, Mayak (satellite), Meteor-3M No.1, Meteor-M No.1, Meteor-M No.2-1, Mir, Molniya-1 No.2, Multi-Application Survivable Tether, Nanosat-1B, Nimiq 5, Nimiq-4, OICETS, OSSI-1, Phobos 1, Phobos 2, Poisk, Prognoz 9, Progress 1, Progress 2, Progress 3, Progress 33, Progress 4, Progress 5, Progress M-01M, Progress M-02M, Progress M-03M, Progress M-04M, Progress M-05M, Progress M-06M, Progress M-07M, Progress M-08M, Progress M-09M, Progress M-1, Progress M-10, Progress M-10M, Progress M-11, Progress M-11M, Progress M-12, Progress M-12M, Progress M-13, Progress M-13M, Progress M-14, Progress M-14M, Progress M-15, Progress M-15M, Progress M-16, Progress M-16M, Progress M-17, Progress M-17M, Progress M-18, Progress M-18M, Progress M-19, Progress M-19M, Progress M-2, Progress M-20, Progress M-20M, Progress M-21, Progress M-21M, Progress M-22, Progress M-22M, Progress M-23, Progress M-23M, Progress M-24, Progress M-24M, Progress M-25, Progress M-25M, Progress M-26, Progress M-26M, Progress M-27, Progress M-27M, Progress M-28, Progress M-28M, Progress M-29, Progress M-29M, Progress M-3, Progress M-30, Progress M-31, Progress M-32, Progress M-33, Progress M-34, Progress M-35, Progress M-36, Progress M-37, Progress M-39, Progress M-4, Progress M-40, Progress M-41, Progress M-42, Progress M-43, Progress M-44, Progress M-45, Progress M-46, Progress M-47, Progress M-48, Progress M-49, Progress M-5, Progress M-50, Progress M-51, Progress M-52, Progress M-53, Progress M-54, Progress M-55, Progress M-56, Progress M-57, Progress M-58, Progress M-59, Progress M-6, Progress M-60, Progress M-61, Progress M-62, Progress M-63, Progress M-64, Progress M-65, Progress M-66, Progress M-67, Progress M-7, Progress M-8, Progress M-9, Progress M-MIM2, Progress M-SO1, Progress M1-1, Progress M1-10, Progress M1-11, Progress M1-2, Progress M1-3, Progress M1-4, Progress M1-5, Progress M1-6, Progress M1-7, Progress M1-8, Progress M1-9, Progress MS-01, Progress MS-02, Progress MS-06, Progress MS-09, Progress MS-10, QuetzSat 1, RADARSAT-2, Reimei, Resurs-DK1, Resurs-P No.1, Resurs-P No.2, Rincon 1, SES 4, SES-1, SES-3, SES-6, SES7, Salyut 7, Satmex 8, Saudi-OSCAR 50, Schiaparelli EDM lander, Sirius FM-5, Sirius FM6, SkyTerra 1, Soyuz 1, Soyuz 10, Soyuz 11, Soyuz 12, Soyuz 13, Soyuz 14, Soyuz 15, Soyuz 16, Soyuz 17, Soyuz 18, Soyuz 18a, Soyuz 19, Soyuz 2, Soyuz 20, Soyuz 21, Soyuz 22, Soyuz 23, Soyuz 24, Soyuz 25, Soyuz 26, Soyuz 27, Soyuz 28, Soyuz 29, Soyuz 3, Soyuz 30, Soyuz 31, Soyuz 32, Soyuz 33, Soyuz 34, Soyuz 35, Soyuz 36, Soyuz 37, Soyuz 38, Soyuz 39, Soyuz 4, Soyuz 40, Soyuz 5, Soyuz 6, Soyuz 7, Soyuz 8, Soyuz 9, Soyuz MS-01, Soyuz MS-02, Soyuz MS-03, Soyuz MS-09, Soyuz T-1, Soyuz T-10, Soyuz T-10-1, Soyuz T-11, Soyuz T-12, Soyuz T-13, Soyuz T-14, Soyuz T-15, Soyuz T-2, Soyuz T-3, Soyuz T-4, Soyuz T-5, Soyuz T-6, Soyuz T-7, Soyuz T-8, Soyuz T-9, Soyuz TM-1, Soyuz TM-10, Soyuz TM-11, Soyuz TM-12, Soyuz TM-13, Soyuz TM-14, Soyuz TM-15, Soyuz TM-16, Soyuz TM-17, Soyuz TM-18, Soyuz TM-19, Soyuz TM-2, Soyuz TM-20, Soyuz TM-21, Soyuz TM-22, Soyuz TM-23, Soyuz TM-24, Soyuz TM-25, Soyuz TM-26, Soyuz TM-27, Soyuz TM-28, Soyuz TM-29, Soyuz TM-3, Soyuz TM-30, Soyuz TM-31, Soyuz TM-32, Soyuz TM-33, Soyuz TM-34, Soyuz TM-4, Soyuz TM-5, Soyuz TM-6, Soyuz TM-8, Soyuz TM-9, Soyuz TMA-01M, Soyuz TMA-02M, Soyuz TMA-03M, Soyuz TMA-04M, Soyuz TMA-05M, Soyuz TMA-06M, Soyuz TMA-07M, Soyuz TMA-08M, Soyuz TMA-09M, Soyuz TMA-1, Soyuz TMA-10, Soyuz TMA-10M, Soyuz TMA-11, Soyuz TMA-11M, Soyuz TMA-12, Soyuz TMA-12M, Soyuz TMA-13, Soyuz TMA-13M, Soyuz TMA-14, Soyuz TMA-14M, Soyuz TMA-15, Soyuz TMA-15M, Soyuz TMA-16, Soyuz TMA-16M, Soyuz TMA-17, Soyuz TMA-17M, Soyuz TMA-18, Soyuz TMA-18M, Soyuz TMA-19, Soyuz TMA-19M, Soyuz TMA-2, Soyuz TMA-20, Soyuz TMA-20M, Soyuz TMA-21, Soyuz TMA-22, Soyuz TMA-3, Soyuz TMA-4, Soyuz TMA-5, Soyuz TMA-6, Soyuz TMA-7, Soyuz TMA-8, Soyuz TMA-9, Spektr-R, Sputnik 1, Sputnik 2, Sputnik 3, Sputnik 40, Sputnik 41, SuitSat, SumbandilaSat, TET-1, TMSAT, TanDEM-X, Telstar 11N, Telstar 14R, TerraSAR-X, Thor 5, TiungSAT-1, Tyazhely Sputnik, Türksat 4B, UK-DMC 2, Universitetsky-Tatyana-2, UoSAT-12, Vega 1, Vega 2, Venera 1, Venera 14, Venera 15, Venera 16, Venera 2, Venera 2MV-1 No.2, Venera 2MV-2 No.1, Venera 4, Venera 5, Venera 6, Venera 7, Venera 8, Venus Express, ViaSat-1, Voskhod 1, Voskhod 2, Vostok 1, Vostok 2, Vostok 3, Vostok 4, Vostok 5, Vostok 6, Yahsat 1B, Yamal-402, Young Engineers' Satellite 2, Zond 1, Zond 2, Zond 3, Zond 3MV-1 No.2",,"DOS-2, International Space Station, Kosmos 1686, Kosmos 557, Orbital Piloted Assembly and Experiment Complex, Priroda, Salyut 1, Salyut 2, Salyut 3, Salyut 4, Salyut 5, Salyut 6, Salyut 7",,23
,What is the highest mountain in Italy?,Mont Blanc,,Mont Blanc,,289
